Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
A.Abdennour,34,Defender,186,85,22,0,1853,0,0,0,4,0,0.3,83.2,1.9,0,6.88,Valencia,2015/2016
A.Abdennour,34,Defender,186,85,9,4,878,0,0,0,4,0,0.2,84,1.3,0,6.51,Valencia,2016/2017
A.Abeid,26,Defender,174,70,1,0,78,0,0,0,0,0,0,75,1,0,6.48,Levante,2017/2018
A.Aceves,20,Goalkeeper,190,0,0,1,12,0,0,0,0,0,0,80,1,0,6.61,Real Valladolid,2022/2023
A.Adan,36,Goalkeeper,190,86,2,1,260,0,0,0,0,0,0,55.9,0,0,6.79,Real Madrid,2010/2011
A.Adan,36,Goalkeeper,190,86,1,0,90,0,0,0,0,0,0,64.3,1,0,7.63,Real Madrid,2011/2012
A.Adan,36,Goalkeeper,190,86,3,0,186,0,0,0,0,1,0,68.6,0,0,6.22,Real Madrid,2012/2013
A.Adan,36,Goalkeeper,190,86,17,0,1524,0,0,0,1,0,0,46.8,0.8,0,6.56,Real Betis,2013/2014
A.Adan,36,Goalkeeper,190,86,36,0,3213,0,0,0,6,0,0,38.7,0.3,2,6.78,Real Betis,2015/2016
A.Adan,36,Goalkeeper,190,86,37,0,3330,0,0,0,5,0,0,52.7,0.3,1,6.78,Real Betis,2016/2017
A.Adan,36,Goalkeeper,190,86,30,0,2700,0,2,2,4,0,0,67.4,0.2,2,6.59,Real Betis,2017/2018
A.Adan,36,Goalkeeper,190,86,2,0,91,0,0,0,1,0,0,50,0,0,6.47,Atletico Madrid,2018/2019
A.Adan,36,Goalkeeper,190,86,0,1,24,0,0,0,0,0,0,60,0,0,6.11,Atletico Madrid,2019/2020
A.Aduriz,43,Forward,181,77,20,9,1856,10,2,12,6,1,1.7,73.5,3.2,2,6.92,Valencia,2010/2011
A.Aduriz,43,Forward,181,77,11,18,1286,7,1,8,5,1,1.9,69.6,2.1,1,6.67,Valencia,2011/2012
A.Aduriz,43,Forward,181,77,33,3,2594,14,6,20,11,1,2.3,72.5,2.6,2,6.89,Athletic Bilbao,2012/2013
A.Aduriz,43,Forward,181,77,26,5,2410,15,7,22,6,2,2.6,61.7,5.6,7,7.32,Athletic Bilbao,2013/2014
A.Aduriz,43,Forward,181,77,30,1,2586,18,4,22,12,0,2.8,59.5,6,5,7.37,Athletic Bilbao,2014/2015
A.Aduriz,43,Forward,181,77,30,4,2776,20,6,26,9,0,2.7,60.6,4.8,6,7.37,Athletic Bilbao,2015/2016
A.Aduriz,43,Forward,181,77,27,5,2431,16,1,17,8,1,2.7,62.5,4.4,5,7.14,Athletic Bilbao,2016/2017
A.Aduriz,43,Forward,181,77,21,12,2150,9,1,10,5,0,1.8,67.3,3.3,1,6.69,Athletic Bilbao,2017/2018
A.Aduriz,43,Forward,181,77,10,10,941,2,0,2,4,0,1,62.3,2.7,0,6.25,Athletic Bilbao,2018/2019
A.Aduriz,43,Forward,181,77,0,14,194,1,0,1,3,0,0.5,57.1,1.5,0,6.18,Athletic Bilbao,2019/2020
A.Afif,27,Forward,176,70,2,7,231,0,0,0,2,0,0.1,77.3,0.3,0,6.26,Sporting Gijon,2016/2017
A.Aguado,27,Midfielder,174,66,18,16,1887,1,2,3,3,0,0.6,85.2,0.4,0,6.46,Real Valladolid,2022/2023
A.Aguilar,39,Midfielder,185,82,33,1,2871,0,0,0,11,1,1,79,3,2,6.97,Hercules,2010/2011
A.Aguilar,39,Midfielder,185,82,27,1,2414,3,3,6,12,1,1.5,81.7,2.5,0,7.08,Deportivo La Coruna,2012/2013
A.Aguirre,24,Forward,180,74,0,1,8,0,0,0,0,0,0,100,0,0,5.98,Rayo Vallecano,2021/2022
A.Aketxe,30,Forward,174,69,3,5,294,1,1,2,1,0,0.8,82.1,0.1,0,6.61,Athletic Bilbao,2014/2015
A.Aketxe,30,Forward,174,69,2,1,186,0,0,0,0,0,1.3,78.9,1.3,0,6.78,Athletic Bilbao,2015/2016
A.Aketxe,30,Forward,174,69,0,3,34,0,0,0,1,0,0.7,88.6,0,0,6.09,Athletic Bilbao,2017/2018
A.Alarcon,19,Midfielder,175,0,0,4,23,0,0,0,0,0,0.3,71.4,0,0,6.03,Barcelona,2022/2023
A.Alcaraz,41,Defender,187,81,6,0,540,1,0,1,2,0,0.3,72.9,2.8,1,7.16,Las Palmas,2015/2016
A.Alegria,31,Forward,190,82,15,10,1435,3,2,5,2,0,1.8,69.4,2.9,1,6.55,Real Betis,2016/2017
A.Alegria,31,Forward,190,82,8,1,632,0,0,0,1,0,1.6,68.9,3,0,6.35,Levante,2017/2018
A.Alegria,31,Forward,190,82,0,9,132,0,0,0,0,0,0.3,68.8,0.7,0,6.11,Rayo Vallecano,2018/2019
A.Alegria,31,Forward,190,82,0,6,103,0,0,0,0,0,0,65.6,1.7,0,6.11,Mallorca,2019/2020
A.Alfaro,37,Midfielder,175,72,8,12,719,2,1,3,1,0,1.3,81.9,0.6,0,6.41,Sevilla,2010/2011
A.Alfaro,37,Midfielder,175,72,13,16,1260,2,1,3,2,0,1.3,75.6,0.6,1,6.49,Mallorca,2011/2012
A.Alfaro,37,Midfielder,175,72,13,14,1306,6,2,8,1,0,1.3,80.2,0.7,1,6.5,Mallorca,2012/2013
A.Alfaro,21,Midfielder,183,0,0,1,14,0,0,0,0,0,0,100,0,0,5.95,Elche,2022/2023
A.Algobia,24,Midfielder,180,78,11,15,1130,0,0,0,3,0,0.3,81.7,0.3,0,6.21,Getafe,2022/2023
A.Almeida,23,Midfielder,176,62,29,5,2552,2,4,6,3,0,0.7,84.9,0.4,1,6.84,Valencia,2022/2023
A.Amaya,40,Defender,192,86,9,3,936,0,0,0,4,0,0.2,80.2,2.3,0,7.01,Real Betis,2011/2012
A.Amaya,40,Defender,192,86,26,2,2428,0,0,0,6,2,0.4,78,3.4,0,7,Real Betis,2012/2013
A.Amaya,40,Defender,192,86,22,2,2027,1,1,2,9,1,1,72.3,4.3,4,7.21,Real Betis,2013/2014
A.Amaya,40,Defender,192,86,19,0,1592,1,0,1,6,0,0.3,81.3,3,1,7.15,Rayo Vallecano,2014/2015
