Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Lionel Messi 36,  AM(CR),FW",170,72,28(4),2644,46,12,1,-,5.1,85.2,0.2,19,8.83,Barcelona,2012/2013
"Cesc Fàbregas 36,  M(CL),FW",180,77,30(2),2325,11,11,7,-,1.6,88.6,0.5,2,7.45,Barcelona,2012/2013
"Andrés Iniesta 39,  M(CL)",171,68,24(7),2096,3,16,4,-,1.1,90.5,-,3,7.41,Barcelona,2012/2013
"Sergio Busquets 35,  DMC",189,74,25(6),2250,1,2,9,-,-,92.2,1.5,1,7.22,Barcelona,2012/2013
"Adriano 39,  D(CLR),M(L)",172,75,18(5),1444,5,1,3,-,0.7,90.6,1.1,1,7.2,Barcelona,2012/2013
"Jordi Alba 34,  D(L),M(L)",170,68,27(2),2500,2,5,3,-,0.2,89.5,0.8,-,7.18,Barcelona,2012/2013
"Xavi 44,  DMC",170,68,24(6),2197,5,8,-,-,1.1,94.8,0.1,-,7.18,Barcelona,2012/2013
"Dani Alves 40,  D(R),M(CR)",172,70,26(4),2272,-,6,2,-,0.8,86.1,0.8,2,7.16,Barcelona,2012/2013
"Pedro 36,  M(CLR),FW",169,65,23(5),2078,7,6,3,-,1.5,90.1,0.2,1,7.16,Barcelona,2012/2013
"Alexandre Song 36,  M(C)",185,74,17(3),1537,1,-,3,-,0.2,92.7,1.7,-,7.14,Barcelona,2012/2013
"Thiago Alcântara 32,  M(C)",174,70,15(12),1416,2,4,4,-,0.6,91.8,0.7,2,7.14,Barcelona,2012/2013
"Gerard Piqué 37,  D(C)",194,85,27(1),2403,2,-,4,1,0.5,91.1,1.6,-,7.11,Barcelona,2012/2013
"Cristian Tello 32,  M(LR)",178,65,12(10),1176,7,4,-,-,1.5,84.8,0.1,1,7.06,Barcelona,2012/2013
"Alexis Sánchez 35,  M(CLR),FW",169,62,18(11),1707,8,9,4,-,1.1,80.5,0.6,1,7.04,Barcelona,2012/2013
"Martín Montoya 32,  D(LR),M(R)",175,73,11(4),1148,1,2,-,-,0.3,91.5,1,-,7.04,Barcelona,2012/2013
