Player_1,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Robert Lewandowski 35,  FW",185,81,33(1),2852,23,7,2,1,4,78.1,1.5,7,7.49,Barcelona,2022/2023
"Memphis Depay 30,  AM(CL),FW",178,78,2,116,1,-,-,-,3,83.9,0.5,-,7.23,Barcelona,2022/2023
"Pedri 21,  AM(CL)",174,60,22(4),1983,6,1,2,-,0.8,87.6,0.1,4,7.2,Barcelona,2022/2023
"Frenkie de Jong 26,  D(C),DMC",181,74,29(4),2539,2,4,3,-,0.5,91.4,1,4,7.15,Barcelona,2022/2023
"Ousmane Dembélé 26,  AM(CLR),FW",178,67,16(9),1416,5,7,4,-,2,83.4,0.2,3,7.14,Barcelona,2022/2023
"Raphinha 27,  AM(LR),FW",176,68,25(11),2087,7,7,8,-,2.2,79.9,0.4,6,7.04,Barcelona,2022/2023
"Sergio Busquets 35,  DMC",189,74,28(2),2347,-,4,6,1,0.3,88.7,1.8,-,6.99,Barcelona,2022/2023
"Jules Koundé 25,  D(CR)",180,75,28(1),2429,1,3,2,-,0.5,88.8,1.5,1,6.97,Barcelona,2022/2023
"Ronald Araujo 25,  D(CR)",188,79,21(1),1802,-,2,6,1,0.8,89.1,2.1,-,6.91,Barcelona,2022/2023
"Alejandro Balde 20,  D(LR),M(L)",175,69,30(3),2477,1,6,4,-,0.6,91.1,0.6,1,6.9,Barcelona,2022/2023
"Marc-André ter Stegen 31,  GK",187,85,38,3349,-,-,-,-,-,82.4,0.2,-,6.86,Barcelona,2022/2023
"Gerard Piqué 37,  D(C)",194,85,5(2),383,-,-,3,1,0.4,92.2,2.9,-,6.85,Barcelona,2022/2023
"Gavi 19,  AM(CL)",173,70,30(6),2543,2,4,10,-,0.8,87.5,1.1,-,6.84,Barcelona,2022/2023
"Jordi Alba 35,  D(L),M(L)",170,68,14(10),1423,2,3,4,1,0.5,86.6,0.3,1,6.82,Barcelona,2022/2023
"Andreas Christensen 27,  D(C),DMC",187,82,22(1),1767,1,1,2,-,0.4,94,1.8,-,6.82,Barcelona,2022/2023
"Héctor Bellerín 29,  D(R),M(R)",178,74,1(2),141,-,-,-,-,-,80,1,-,6.71,Barcelona,2022/2023
"Sergi Roberto 32,  D(R),M(CR)",178,68,15(8),1309,4,1,3,-,0.8,92.8,0.3,-,6.65,Barcelona,2022/2023
"Eric García 23,  D(C)",182,76,15(9),1414,1,-,3,-,0.3,91,1,-,6.62,Barcelona,2022/2023
"Ansu Fati 21,  AM(L),FW",178,66,12(24),1382,7,3,3,-,1.7,84.8,0.2,-,6.55,Barcelona,2022/2023
"Marcos Alonso 33,  D(CL),M(L)",188,84,11(13),1163,1,-,3,-,0.3,90.9,1.1,-,6.53,Barcelona,2022/2023
"Ferran Torres 24,  AM(LR),FW",184,77,14(19),1385,4,2,5,1,1.2,81.2,0.3,1,6.48,Barcelona,2022/2023
"Franck Kessié 27,  M(C)",183,74,7(21),980,1,1,4,-,0.5,86.8,0.3,-,6.3,Barcelona,2022/2023
"Aleix Garrido 20,  Midfielder",170,63,0(1),6,-,-,-,-,-,100,-,-,6.24,Barcelona,2022/2023
"Pablo Torre 20,  AM(C)",173,63,1(7),138,-,-,-,-,0.1,85.2,0.1,-,6.22,Barcelona,2022/2023
"Pierre-Emerick Aubameyang 34,  M(CLR),FW",187,80,0(1),8,-,-,-,-,1,100,-,-,6.21,Barcelona,2022/2023
"Lamine Yamal 16,  AM(R)",180,72,0(1),7,-,-,-,-,1,100,-,-,6.14,Barcelona,2022/2023
"Iñaki Peña 25,  GK",184,78,0(2),72,-,-,-,-,-,90.9,-,-,6.05,Barcelona,2022/2023
"Ángel Alarcón 19,  Midfielder",175,0,0(4),23,-,-,-,-,0.3,71.4,-,-,6.03,Barcelona,2022/2023
"Arnau Tenas 22,  Goalkeeper",185,85,1,1,-,-,1,-,-,-,-,-,6,Barcelona,2022/2023
"Chadi Riad 20,  D(C)",186,78,0(1),1,-,-,-,-,-,100,-,-,6,Barcelona,2022/2023
"Karim Benzema 36,  FW",185,81,24,2044,19,3,1,-,4.5,87,0.6,6,7.53,Real Madrid,2022/2023
"Vinícius Júnior 23,  AM(L),FW",176,73,32(1),2833,10,9,10,1,2.3,80.6,0.1,4,7.35,Real Madrid,2022/2023
"Rodrygo 23,  AM(CLR),FW",174,64,25(9),2382,9,8,4,-,2.9,89.6,0.4,4,7.26,Real Madrid,2022/2023
