ID,Player,Nationality,Country
1,A.Abdennour,TUN,Tunisia
2,A.Abeid,MTN,Mauritania
3,A.Aceves,ESP,Spain
4,A.Adan,ESP,Spain
5,A.Aduriz,ESP,Spain
6,A.Afif,QAT,Qatar
7,A.Aguado,ESP,Spain
8,A.Aguilar,COL,Colombia
9,A.Aguirre,ESP,Spain
10,A.Aketxe,ESP,Spain
11,A.Alarcon,ESP,Spain
12,A.Alcaraz,PAR,Paraguay
13,A.Alegria,ESP,Spain
14,A.Alfaro,ESP,Spain
15,A.Algobia,ESP,Spain
16,A.Almeida,PRT,Portugal
17,A.Amaya,ESP,Spain
18,A.Annan,GHA,Ghana
19,A.Aquilani,ITA,Italy
20,A.Arambarri,ESP,Spain
21,A.Arbeloa,ESP,Spain
22,A.Arbilla,ESP,Spain
23,A.Areola,FRA,France
24,A.Ares,ESP,Spain
25,A.Arribas,ESP,Spain
26,A.Arroyo,ESP,Spain
27,A.Artiles,ESP,Spain
28,A.Asensio,ESP,Spain
29,A.Ba,SEN,Senegal
30,A.Baba,GHA,Ghana
31,A.Baena,ESP,Spain
32,A.Balde,ESP,Spain
33,A.Barrada,MAR,Morocco
34,A.Barragan,ESP,Spain
35,A.Barrenetxea,ESP,Spain
36,A.Barrera,ESP,Spain
37,A.Bastida,ESP,Spain
38,A.Benitez,ESP,Spain
39,A.Berenguer,ESP,Spain
40,A.Bergantinos,ESP,Spain
41,A.Blanco,ESP,Spain
42,A.Blesa,ESP,Spain
43,A.Boka,CIV,Ivory Coast
44,A.Botia,ESP,Spain
45,A.Bravo,ESP,Spain
46,A.Brignoli,ITA,Italy
47,A.Budimir,CRO,Croatia
48,A.Bueno,ESP,Spain
49,A.Bunuel,ESP,Spain
50,A.Butzke,ESP,Spain
51,A.Cabrera,ESP,Spain
52,A.Callens,PER,Peru
53,A.Cantalapiedra,ESP,Spain
54,A.Cantero,ESP,Spain
55,A.Capa,ESP,Spain
56,A.Carmona,ESP,Spain
57,A.Castro,PRT,Portugal
58,A.Catena,ESP,Spain
59,A.Cejudo,ESP,Spain
60,A.Centelles,ESP,Spain
61,A.Cerci,ITA,Italy
62,A.Christensen,DEN,Denmark
63,A.Cifuentes,ESP,Spain
64,A.Cissokho,FRA,France
65,A.Coeff,FRA,France
66,A.Collado,ESP,Spain
67,A.Colunga,ESP,Spain
68,A.Conceicao,BRA,Brazil
69,A.Correa,ARG,Argentina
70,A.Cortes,ESP,Spain
71,A.Costa,ARG,Argentina
72,A.Cotan,ESP,Spain
73,A.Crusat,ESP,Spain
74,A.Danjuma,NLD,Netherlands
75,A.De La Bella,ESP,Spain
76,A.Dealbert,ESP,Spain
77,A.Del Horno,ESP,Spain
78,A.Del Moral,ESP,Spain
79,A.Delibasic,MNE,Montenegro
80,A.Di Maria,ARG,Argentina
81,A.Diaby,MLI,Mali
82,A.Diaz,ESP,Spain
83,A.Dieguez,ESP,Spain
84,A.Dominguez,ESP,Spain
85,A.Doucoure,MLI,Mali
86,A.Elustondo,ESP,Spain
87,A.Embarba,ESP,Spain
88,A.Escandell,ESP,Spain
89,A.Espino,URY,Uruguay
90,A.Ezzalzouli,MAR,Morocco
91,A.Fati,ESP,Spain
92,A.Febas,ESP,Spain
93,A.Felip,ESP,Spain
94,A.Fernandez,ESP,Spain
95,A.Fernandez,ESP,Spain
96,A.Fernandez,ESP,Spain
97,A.Fernandez,ESP,Spain
98,A.Fernandez ,ARG,Argentina
99,A.Finnbogason,ISL,Iceland
100,A.Florenzi,ITA,Italy
101,A.Floro Flores,ITA,Italy
102,A.Fontas,ESP,Spain
103,A.G.Moreno,ESP,Spain
104,A.Gallar,ESP,Spain
105,A.Galvez,ESP,Spain
106,A.Garcia,ESP,Spain
107,A.Garcia,ESP,Spain
108,A.Garcia,ESP,Spain
109,A.Garcia,ESP,Spain
110,A.Garrido,ESP,Spain
111,A.Gayoso,ESP,Spain
112,A.Geijo,ESP,Spain
113,A.Ghezzal,ALG,Algeria
114,A.Gimenez,ESP,Spain
115,A.Gomes,PRT,Portugal
116,A.Gomis,ESP,Spain
117,A.Gonzalez,ESP,Spain
118,A.Gonzalez,ESP,Spain
119,A.Gonzalez,ESP,Spain
120,A.Gorosabel,ESP,Spain
121,A.Granell,ESP,Spain
122,A.Griezmann,FRA,France
123,A.Guardado,MEX,Mexico
124,A.Guerrero,ESP,Spain
125,A.Guevara,ESP,Spain
126,A.Guitian,ESP,Spain
127,A.Gunino,URY,Uruguay
128,A.Hakimi,MAR,Morocco
129,A.Halilovic,CRO,Croatia
130,A.Hernandez,ESP,Spain
131,A.Herrera,ESP,Spain
132,A.Hjulsager,DEN,Denmark
133,A.Hutton,SCO,Scotland
134,A.Ienaga,JPN,Japan
135,A.Illarramendi,ESP,Spain
136,A.Iniesta,ESP,Spain
137,A.Iraola,ESP,Spain
138,A.Isak,SWE,Sweden
139,A.Iturraspe,ESP,Spain
140,A.Ivanschltz,AUT,Austria
141,A.Januzaj,BEL,Belgium
142,A.Jimenez,ESP,Spain
143,A.Jovanovic,SRB,Serbia
144,A.Katai,SRB,Serbia
145,A.Kone,CIV,Ivory Coast
146,A.Kravets,UKR,Ukraine
147,A.Lafita,ESP,Spain
148,A.Laporte,ESP,Spain
149,A.Lemos,ESP,Spain
150,A.Lopez,ESP,Spain
151,A.Lopez,ESP,Spain
152,A.Lopez,ESP,Spain
153,A.Lopez,ESP,Spain
154,A.Lopez,ESP,Spain
155,A.Lopez,ESP,Spain
156,A.Lopo,ESP,Spain
157,A.Lora,ESP,Spain
