Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Lionel Messi 36,  AM(CR),FW",170,72,31(2),2859,31,18,3,-,4.5,86.2,0.1,20,8.76,Barcelona,2010/2011
"Marc Bartra 33,  D(CR),DMC",184,70,2,180,1,-,-,-,1,83.8,1,-,7.77,Barcelona,2010/2011
"Andrés Iniesta 39,  M(CL)",171,68,32(2),2799,8,3,1,-,1.3,89.6,0.1,2,7.72,Barcelona,2010/2011
"Dani Alves 40,  D(R),M(CR)",172,70,31(4),2904,2,15,10,-,1,86.6,0.6,3,7.66,Barcelona,2010/2011
"Xavi 44,  DMC",170,68,29(2),2467,3,7,6,-,1.1,94.4,-,2,7.58,Barcelona,2010/2011
"Sergio Busquets 35,  DMC",189,74,25(3),2298,1,3,5,-,0.3,92.4,1,-,7.38,Barcelona,2010/2011
"David Villa 42,  AM(L),FW",175,69,32(2),2770,18,5,3,1,3.9,78.9,0.1,1,7.34,Barcelona,2010/2011
"Pedro 36,  M(CLR),FW",169,65,24(9),2152,13,7,2,-,1.8,89.7,0.1,1,7.32,Barcelona,2010/2011
"Carles Puyol 45,  D(C)",178,80,17,1386,1,-,3,-,0.3,90.6,1.4,-,7.19,Barcelona,2010/2011
"Thiago Alcântara 32,  M(C)",174,70,6(6),662,2,-,1,-,0.7,93.1,0.3,-,7.16,Barcelona,2010/2011
"Eric Abidal 44,  D(C)",186,75,23(3),2024,-,-,3,-,0.3,90.7,0.7,-,7.11,Barcelona,2010/2011
"Sergi Roberto 32,  D(R),M(CR)",178,68,1,90,-,1,-,-,2,85.2,-,-,7.05,Barcelona,2010/2011
"Gerard Piqué 37,  D(C)",194,85,29(2),2652,3,1,9,1,0.6,88.4,1.1,-,7.04,Barcelona,2010/2011
"Andreu Fontàs 34,  D(C),DMC",188,91,5(1),460,-,1,-,-,-,92.6,0.3,-,7.01,Barcelona,2010/2011
"Adriano 39,  D(CLR),M(L)",172,75,11(4),951,-,1,3,-,0.5,88.6,0.3,1,6.98,Barcelona,2010/2011
"Javier Mascherano 39,  D(C),M(C)",174,73,18(9),1538,-,-,6,-,0.3,91.8,0.7,1,6.96,Barcelona,2010/2011
"Maxwell 42,  D(L)",176,73,19(6),1818,-,1,2,-,0.2,88,0.8,-,6.91,Barcelona,2010/2011
"Víctor Valdés 42,  GK",183,78,32,2880,-,-,6,-,-,82,-,1,6.91,Barcelona,2010/2011
"Gabriel Milito 43,  D(C),DMC",179,78,8(2),656,-,-,2,-,-,90,0.8,-,6.69,Barcelona,2010/2011
"Pinto 48,  GK",185,82,7,630,-,-,1,-,-,82.4,-,-,6.65,Barcelona,2010/2011
"Seydou Keita 44,  M(C)",183,75,15(20),1531,3,2,2,-,0.4,91.8,0.9,1,6.63,Barcelona,2010/2011
"Bojan 33,  AM(CLR),FW",170,65,9(18),933,6,2,2,-,1.1,84.5,0.1,1,6.62,Barcelona,2010/2011
"Jeffrén Suárez 36,  AM(L),FW",176,73,4(4),302,1,1,-,-,1.5,83.2,0.3,-,6.6,Barcelona,2010/2011
"Jonathan dos Santos 33,  M(CR)",172,74,1(1),87,-,-,-,-,-,91.3,-,-,6.54,Barcelona,2010/2011
"Ibrahim Afellay 37,  M(CLR)",180,76,7(9),664,1,-,1,-,1,91.7,0.1,-,6.47,Barcelona,2010/2011
"Martín Montoya 32,  D(LR),M(R)",175,73,1(1),20,-,-,-,-,-,100,0.5,-,6.31,Barcelona,2010/2011
"Oriol Romeu 32,  DMC",183,83,0(1),8,-,-,-,-,-,100,-,-,6.23,Barcelona,2010/2011
"Nolito 37,  AM(CL)",175,65,0(2),14,-,-,-,-,0.5,100,-,-,6.17,Barcelona,2010/2011
"Cristiano Ronaldo 39,  M(L),FW",187,83,32(2),2913,40,11,2,-,7.4,75.7,1.4,12,8.35,Real Madrid,2010/2011
"Marcelo 35,  D(L),M(L)",173,72,31(1),2738,3,4,7,-,0.8,79.5,0.6,4,7.72,Real Madrid,2010/2011
"Gonzalo Higuaín 36,  FW",186,89,16(1),1317,10,6,1,-,2.9,81.8,0.4,2,7.51,Real Madrid,2010/2011
"Xabi Alonso 42,  M(C)",183,80,29(5),2665,-,6,12,-,0.6,85.3,1.4,4,7.5,Real Madrid,2010/2011
"Ángel Di María 36,  M(CLR),FW",180,75,29(6),2329,6,11,6,-,2.1,75.8,-,4,7.49,Real Madrid,2010/2011
"Mesut Özil 35,  M(CLR)",180,76,30(6),2571,6,17,2,-,1.1,85.4,0.1,1,7.44,Real Madrid,2010/2011
"Sergio Ramos 37,  D(CR)",184,82,30(1),2702,3,2,11,1,1,86.1,1.9,-,7.36,Real Madrid,2010/2011
"Kaká 41,  M(CL),FW",186,78,11(3),816,7,4,-,-,1.9,87.5,0.3,1,7.34,Real Madrid,2010/2011
"Pepe 41,  D(C)",188,81,25(1),2225,1,1,6,1,0.2,82.7,1.2,2,7.32,Real Madrid,2010/2011
"Lassana Diarra 39,  M(C)",173,73,19(7),1728,-,2,11,-,0.7,87.6,0.8,-,7.24,Real Madrid,2010/2011
"Álvaro Arbeloa 41,  D(LR)",184,79,20(6),1849,-,1,5,1,0.2,87.1,0.8,-,7.13,Real Madrid,2010/2011
"Karim Benzema 36,  FW",185,81,20(13),1887,15,5,1,-,2.5,81.3,0.4,1,7.12,Real Madrid,2010/2011
"Ricardo Carvalho 45,  D(C)",183,79,31(2),2771,3,-,9,2,0.4,88.2,0.8,-,7.03,Real Madrid,2010/2011
"Sami Khedira 36,  M(C)",189,90,20(5),1839,-,1,7,-,1,86.2,1.1,-,6.99,Real Madrid,2010/2011
"Emmanuel Adebayor 40,  FW",191,82,6(8),733,5,-,-,-,2.4,80.4,1.5,-,6.91,Real Madrid,2010/2011
"Ezequiel Garay 37,  D(C)",189,90,4(1),337,-,-,-,-,-,85.6,0.8,-,6.84,Real Madrid,2010/2011
"Joselu 33,  FW",192,80,0(1),5,1,-,-,-,1,-,-,-,6.79,Real Madrid,2010/2011
"Antonio Adán 36,  GK",190,86,2(1),260,-,-,-,-,-,55.9,-,-,6.79,Real Madrid,2010/2011
"Nacho 34,  D(CLR)",180,76,2,145,-,-,-,-,0.5,81.9,0.5,-,6.73,Real Madrid,2010/2011
"Iker Casillas 42,  GK",185,84,35,3062,-,-,3,1,-,61.8,-,-,6.68,Real Madrid,2010/2011
"Esteban Granero 36,  M(CLR)",180,78,9(11),867,1,2,5,-,0.5,87.6,0.6,1,6.68,Real Madrid,2010/2011
"Raúl Albiol 38,  D(C)",187,74,13(7),1150,-,-,3,1,0.1,84.8,0.7,-,6.67,Real Madrid,2010/2011
"Fernando Gago 37,  M(C)",178,73,1(3),95,-,-,-,-,-,93.3,0.3,-,6.51,Real Madrid,2010/2011
"Sergio Canales 33,  M(CLR)",176,65,3(7),283,-,1,2,-,0.5,84.8,-,-,6.45,Real Madrid,2010/2011
"Jerzy Dudek 50,  Goalkeeper",188,83,1,78,-,-,-,-,-,87.5,-,-,6.32,Real Madrid,2010/2011
"Pedro León 37,  M(LR)",183,70,0(6),132,-,-,1,-,1.3,78.8,0.2,-,6.24,Real Madrid,2010/2011
"Mahamadou Diarra 42,  DMC",182,80,0(3),19,-,-,-,-,0.3,93.5,-,-,6.17,Real Madrid,2010/2011
"Álvaro Morata 31,  AM(L),FW",190,84,0(1),1,-,-,-,-,-,50,-,-,6.08,Real Madrid,2010/2011
"Jesús 35,  GK",190,87,0(1),12,-,-,-,-,-,100,-,-,6.05,Real Madrid,2010/2011
"Tomás Mejías 35,  GK",195,84,0(1),6,-,-,-,-,-,50,-,-,6.02,Real Madrid,2010/2011
"Álex Fernández 31,  M(CL),FW",182,72,0(1),1,-,-,-,-,-,100,-,-,6,Real Madrid,2010/2011
"Juankar 33,  D(L),M(L)",179,70,0(1),12,-,-,-,-,-,100,-,-,5.98,Real Madrid,2010/2011
