Nationality,Count
Spain,1178
Argentina,162
Brazil,109
Portugal,83
France,81
Uruguay,57
Colombia,36
Serbia,34
Italy,33
Morocco,30
Ghana,28
Netherlands,26
Senegal,24
Croatia,23
Mexico,22
Cameroon,21
Nigeria,21
Chile,18
"Ivory Coast",18
Denmark,17
Belgium,16
Germany,14
Venezuela,14
Paraguay,13
Algeria,12
Turkey,12
Romania,11
Sweden,11
"Bosnia and Herzegovina",10
Mali,10
Japan,9
Poland,9
Ukraine,9
"Congo Democratic Republic",8
Greece,8
"United States of America",8
Montenegro,7
Peru,7
Ecuador,6
"Equatorial Guinea",6
Slovakia,6
Albania,5
Israel,5
Martinique,5
Norway,5
"Sounth Korea",5
Austria,4
"Cabo Verde",4
"Costa Rica",4
"Czech Republic",4
"Dominican Republic",4
Switzerland,4
Armenia,3
England,3
Gambia,3
Guinea,3
Guinea-Bissau,3
Mauritania,3
"North Macedonia",3
Russia,3
Scotland,3
Slovenia,3
Angola,2
Australia,2
"Burkina Faso",2
"Central African Republic",2
China,2
Congo,2
Gabon,2
Georgia,2
Hungary,2
Iceland,2
Iran,2
Kenya,2
Lithuania,2
Mozambique,2
Panama,2
"Saudi Arabia",2
Togo,2
Tunisia,2
Zambia,2
NULL,1
Azerbaijan,1
Belarus,1
Bulgaria,1
Canada,1
Eritrea,1
Finland,1
Guadeloupe,1
Haiti,1
Honduras,1
Indonesia,1
Ireland,1
Kosovo,1
Malaysia,1
Qatar,1
"South Africa",1
Suriname,1
Thailand,1
Wales,1
Zimbabwe,1
