Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Lionel Messi 36,  AM(CR),FW",170,72,29(5),2710,36,13,3,-,5,81.3,0.2,17,8.48,Barcelona,2018/2019
"Luis Suárez 37,  AM(CLR),FW",182,72,31(2),2830,21,6,5,-,3.4,75.3,0.7,5,7.57,Barcelona,2018/2019
"Ousmane Dembélé 26,  AM(CLR),FW",178,67,20(9),1673,8,5,1,-,1.3,80.7,0.3,3,7.25,Barcelona,2018/2019
"Gerard Piqué 37,  D(C)",194,85,35,3150,4,2,6,-,0.5,91.4,3.4,-,7.18,Barcelona,2018/2019
"Ivan Rakitic 36,  M(CL)",184,78,29(5),2643,3,5,5,1,1.1,91.4,1.1,1,7.06,Barcelona,2018/2019
"Jordi Alba 35,  D(L),M(L)",170,68,32(4),2988,2,8,6,-,0.4,85.6,0.5,1,7.01,Barcelona,2018/2019
"Sergio Busquets 35,  DMC",189,74,30(5),2720,-,1,10,-,0.2,89.7,1.5,-,7,Barcelona,2018/2019
"Jean-Clair Todibo 24,  D(C)",192,88,2,158,-,-,2,-,-,92.4,1,1,6.97,Barcelona,2018/2019
"Philippe Coutinho 31,  M(CLR)",172,68,22(12),2023,5,2,2,-,2,87.9,0.2,-,6.93,Barcelona,2018/2019
"Sergi Roberto 32,  D(R),M(CR)",178,68,23(6),2089,-,7,3,-,0.3,90.5,1,1,6.91,Barcelona,2018/2019
"Arturo Vidal 36,  M(CR)",180,75,22(11),1929,3,7,7,-,0.7,89,1.2,-,6.89,Barcelona,2018/2019
"Clément Lenglet 28,  D(C)",186,81,22(1),1935,1,-,8,1,0.3,89.4,1.9,1,6.88,Barcelona,2018/2019
"Marc-André ter Stegen 31,  GK",187,85,35,3150,-,-,-,-,-,83.2,0.1,-,6.69,Barcelona,2018/2019
"Nélson Semedo 30,  D(LR),M(R)",177,69,20(6),1602,1,-,4,-,0.2,91.2,0.7,-,6.68,Barcelona,2018/2019
"Abel Ruiz 24,  FW",180,75,0(1),21,-,-,-,-,1,80,-,-,6.66,Barcelona,2018/2019
"Moussa Wagué 25,  D(R)",177,70,2(1),225,-,-,1,-,0.3,87.4,0.7,-,6.65,Barcelona,2018/2019
"Samuel Umtiti 30,  D(CL)",182,75,13(1),1190,-,1,4,-,0.1,94.5,0.9,-,6.6,Barcelona,2018/2019
"Malcom 27,  AM(CLR)",171,77,6(9),608,1,2,-,-,0.7,86.9,0.3,-,6.53,Barcelona,2018/2019
"Denis Suárez 30,  M(CLR)",176,69,0(2),17,-,-,-,-,0.5,73.3,0.5,-,6.5,Barcelona,2018/2019
"Arthur 27,  DMC",171,73,19(8),1441,-,1,2,-,0.2,93.5,0.1,-,6.49,Barcelona,2018/2019
"Jeison Murillo 31,  D(C)",182,78,1(1),112,-,-,-,-,0.5,92.8,2,-,6.46,Barcelona,2018/2019
"Carles Aleñá 26,  AM(CLR)",180,73,6(11),631,2,-,2,-,0.8,92.1,0.3,1,6.44,Barcelona,2018/2019
"Riqui Puig 24,  AM(C),FW",169,56,2,157,-,-,-,-,-,92.2,0.5,-,6.44,Barcelona,2018/2019
"Munir El Haddadi 28,  AM(CLR),FW",175,69,1(6),148,1,1,-,-,0.6,77.6,0.1,-,6.43,Barcelona,2018/2019
"Thomas Vermaelen 38,  D(CL)",183,80,7(2),587,-,-,2,-,0.2,94,1.4,-,6.4,Barcelona,2018/2019
"Jasper Cillessen 34,  GK",185,83,3,270,-,-,-,-,-,86.6,0.3,-,6.36,Barcelona,2018/2019
"Rafinha 32,  M(CLR)",174,71,3(2),225,-,-,1,-,0.4,89,0.6,-,6.33,Barcelona,2018/2019
"Kevin-Prince Boateng 37,  M(CLR),FW",186,76,3,240,-,-,1,-,1,76.7,1.3,-,6.22,Barcelona,2018/2019
"Carles Pérez 26,  AM(CR),FW",173,75,0(1),17,-,-,-,-,1,85.7,-,-,6.1,Barcelona,2018/2019
"Álex Collado 24,  AM(CR)",177,66,0(1),84,-,-,-,-,2,83.3,-,-,5.96,Barcelona,2018/2019
"Carlos Isaac 25,  D(R)",184,74,1,90,-,-,-,-,1,85.4,1,-,7.35,Atletico Madrid,2018/2019
"Antoine Griezmann 33,  AM(CLR),FW",176,73,37,3204,15,9,5,-,3.1,78.3,1.1,4,7.29,Atletico Madrid,2018/2019
"Rodri 27,  D(C),DMC",190,82,32(2),2743,3,1,5,-,0.8,91.1,2.3,3,7.24,Atletico Madrid,2018/2019
"Saúl Ñíguez 29,  D(CL),M(CLR)",184,76,32(1),2925,4,1,10,-,1.6,78.8,2.9,4,7.17,Atletico Madrid,2018/2019
"José Giménez 29,  D(CR)",185,77,19(2),1772,-,-,5,-,0.7,80.5,2.7,-,7.13,Atletico Madrid,2018/2019
"Álvaro Morata 31,  AM(L),FW",190,84,13(2),1089,6,1,5,-,2,59.4,4.1,1,7.1,Atletico Madrid,2018/2019
"Sergio Camello 23,  FW",177,69,0(1),45,1,-,-,-,3,88.9,-,-,7.09,Atletico Madrid,2018/2019
"Koke 32,  M(CLR)",176,77,29(1),2588,3,4,8,1,0.7,86.2,0.5,1,7.09,Atletico Madrid,2018/2019
"Lucas Hernández 28,  D(CL)",184,79,13(1),1119,1,-,5,-,0.4,81.3,1.6,1,7.02,Atletico Madrid,2018/2019
"Diego Godín 38,  D(C)",187,78,28(2),2508,3,1,7,-,0.5,80.5,3,1,6.98,Atletico Madrid,2018/2019
"Borja Garcés 24,  Forward",175,71,0(1),19,1,-,-,-,3,50,-,-,6.98,Atletico Madrid,2018/2019
"Filipe Luís 38,  D(L)",181,77,24(3),2038,2,2,4,-,0.4,83.1,0.7,-,6.96,Atletico Madrid,2018/2019
"Thomas Partey 30,  D(R),M(CR)",185,77,22(10),2067,3,4,7,1,1.1,83.8,1.3,5,6.93,Atletico Madrid,2018/2019
"Toni Moya 26,  DMC",180,78,1,90,-,-,-,-,-,91.8,1,-,6.91,Atletico Madrid,2018/2019
"Santiago Arias 32,  D(R),M(R)",178,72,20(5),1771,1,1,4,-,0.4,81.9,1.7,1,6.91,Atletico Madrid,2018/2019
"Jan Oblak 31,  GK",188,87,37,3330,-,-,-,-,-,49.4,0.2,2,6.9,Atletico Madrid,2018/2019
"Thomas Lemar 28,  AM(CLR)",171,63,22(9),1829,3,3,4,-,0.8,85.2,0.3,1,6.87,Atletico Madrid,2018/2019
"Juanfran 39,  D(R)",181,71,18(4),1609,-,2,7,-,-,82.2,0.6,1,6.69,Atletico Madrid,2018/2019
"Ángel Correa 29,  AM(CLR),FW",171,68,20(16),1922,3,2,7,1,0.9,75.6,0.3,1,6.68,Atletico Madrid,2018/2019
"Andrés Solano 26,  Defender",176,69,1,46,-,-,-,-,-,76.9,1,-,6.67,Atletico Madrid,2018/2019
"Stefan Savic 33,  D(C)",187,81,17(1),1401,-,2,3,1,0.4,81.6,1.9,-,6.63,Atletico Madrid,2018/2019
"Vitolo 34,  M(CLR),FW",185,80,5(15),745,-,1,1,-,0.4,77.9,0.3,-,6.55,Atletico Madrid,2018/2019
"Antonio Adán 36,  GK",190,86,2,91,-,-,1,-,-,50,-,-,6.47,Atletico Madrid,2018/2019
"Diego Costa 35,  FW",188,83,14(2),1117,2,2,4,1,1,70.3,1.8,-,6.46,Atletico Madrid,2018/2019
"Gelson Martins 28,  M(LR)",173,72,1(7),224,-,-,-,-,0.6,77.4,0.3,-,6.35,Atletico Madrid,2018/2019
"Nikola Kalinic 36,  FW",187,79,7(10),641,2,-,3,-,0.5,57,1,-,6.3,Atletico Madrid,2018/2019
"Javi Montero 25,  D(C)",185,76,4(5),401,-,-,2,-,-,75,0.1,-,6.19,Atletico Madrid,2018/2019
"Víctor Mollejo 23,  Forward",176,63,0(4),63,-,-,-,-,0.5,82.6,0.5,-,6.02,Atletico Madrid,2018/2019
"Joaquín Muñoz 25,  Forward",173,60,0(1),1,-,-,-,-,-,-,1,-,6,Atletico Madrid,2018/2019
"Karim Benzema 36,  FW",185,81,35(1),2964,21,6,1,-,2.9,82.6,1.2,7,7.38,Real Madrid,2018/2019
"Casemiro 32,  DMC",185,84,27(2),2316,3,-,5,1,1.4,88,3,4,7.15,Real Madrid,2018/2019
"Toni Kroos 34,  M(C)",183,76,26(2),2227,-,4,2,-,1.1,93.2,0.8,2,7.09,Real Madrid,2018/2019
"Dani Carvajal 32,  D(R)",173,73,23(1),2106,1,2,10,-,0.5,87.4,0.8,1,7.04,Real Madrid,2018/2019
"Luka Modric 38,  M(C)",172,66,31(3),2618,3,6,6,-,1.1,88.9,0.4,1,7.03,Real Madrid,2018/2019
"Sergio Reguilón 27,  D(L),M(L)",178,68,13(1),1122,-,2,3,-,0.4,85.9,1.1,-,7,Real Madrid,2018/2019
"Sergio Ramos 37,  D(CR)",184,82,28,2476,6,1,5,1,1.1,92.1,2.2,2,6.91,Real Madrid,2018/2019
"Gareth Bale 34,  M(CLR),FW",186,81,21(8),1794,8,3,4,-,2.6,78.3,1.3,2,6.88,Real Madrid,2018/2019
"Marcos Llorente 29,  D(R),M(CR),FW",184,74,6(1),540,-,-,1,-,0.1,93.1,0.3,-,6.83,Real Madrid,2018/2019
"Marcelo 35,  D(L),M(L)",173,72,21(2),1841,2,2,6,-,1.5,83.5,0.3,1,6.81,Real Madrid,2018/2019
"Marco Asensio 28,  AM(CLR),FW",182,76,19(11),1779,1,4,3,-,1.5,86.8,0.1,-,6.78,Real Madrid,2018/2019
"Raphaël Varane 30,  D(C)",191,81,31(1),2757,2,-,-,1,0.6,89,2.9,-,6.78,Real Madrid,2018/2019
"Vinícius Júnior 23,  AM(L),FW",176,73,9(9),864,2,-,-,-,2.3,76.1,0.1,-,6.77,Real Madrid,2018/2019
"Dani Ceballos 27,  M(CL)",179,70,13(10),1248,3,-,3,-,1,92.6,0.4,-,6.76,Real Madrid,2018/2019
"Keylor Navas 37,  GK",185,80,10,900,-,-,1,-,-,75,0.5,-,6.76,Real Madrid,2018/2019
"Álvaro Odriozola 28,  D(R)",176,66,14,1180,-,2,2,-,0.1,90.6,0.1,-,6.74,Real Madrid,2018/2019
"Brahim Díaz 24,  AM(CLR)",171,59,5(4),378,1,1,-,-,0.8,85.9,-,-,6.74,Real Madrid,2018/2019
"Thibaut Courtois 31,  GK",200,96,27,2430,-,-,2,-,-,72.5,0.3,1,6.71,Real Madrid,2018/2019
"Isco 31,  M(CLR),FW",176,79,11(16),1188,3,2,3,-,0.9,88.6,0.3,-,6.66,Real Madrid,2018/2019
"Nacho 34,  D(CLR)",180,76,19(1),1701,-,1,6,1,0.3,90.1,1.5,-,6.64,Real Madrid,2018/2019
"Lucas Vázquez 32,  D(R),M(R)",173,70,15(16),1502,1,3,4,1,0.8,84.1,0.2,1,6.63,Real Madrid,2018/2019
"Federico Valverde 25,  M(CLR)",182,78,6(10),652,-,-,4,-,0.4,86.3,0.6,-,6.51,Real Madrid,2018/2019
"Javi Sánchez 27,  D(C)",186,71,0(1),45,-,-,1,-,-,87.5,3,-,6.5,Real Madrid,2018/2019
"Jesús Vallejo 27,  D(CR)",184,79,4(1),311,1,-,1,1,0.2,87.8,0.6,-,6.46,Real Madrid,2018/2019
"Mariano Díaz 30,  FW",180,76,3(10),441,3,-,2,-,1.8,75,0.8,-,6.36,Real Madrid,2018/2019
"Cristo González 26,  AM(C),FW",179,69,0(1),45,-,-,-,-,1,100,-,-,6.16,Real Madrid,2018/2019
"Luca Zidane 25,  GK",183,78,1,90,-,-,-,-,-,84.2,1,-,6.02,Real Madrid,2018/2019
"Dani Parejo 34,  M(C)",182,74,35(1),3063,9,7,6,1,1.2,85.8,0.9,9,7.4,Valencia,2018/2019
"Jaume Domènech 33,  GK",185,73,4,360,-,-,-,-,-,56.2,0.8,-,7.18,Valencia,2018/2019
"Francis Coquelin 32,  M(CLR)",176,74,20(6),1767,-,1,5,-,0.3,86.1,1.3,1,6.99,Valencia,2018/2019
"José Gayà 28,  D(L),M(L)",172,66,35,3138,1,1,10,-,0.4,81.9,1,2,6.98,Valencia,2018/2019
"Geoffrey Kondogbia 31,  D(C),DMC",188,80,14(5),1244,1,1,1,-,1.2,84.4,1.3,2,6.95,Valencia,2018/2019
"Gabriel Paulista 33,  D(CR)",185,72,30,2625,-,1,6,-,0.4,86.7,2.1,1,6.93,Valencia,2018/2019
"Rodrigo 33,  M(CLR),FW",182,77,29(4),2534,8,6,3,1,2.4,74.4,1.5,1,6.93,Valencia,2018/2019
"Ezequiel Garay 37,  D(C)",189,90,24,2137,2,-,4,-,0.5,83.6,3,-,6.92,Valencia,2018/2019
"Jeison Murillo 31,  D(C)",182,78,1,90,-,-,-,-,-,94.1,3,-,6.9,Valencia,2018/2019
"Gonçalo Guedes 27,  AM(CLR),FW",179,68,18(7),1474,5,3,2,-,1.4,75.9,0.4,1,6.89,Valencia,2018/2019
"Cristiano Piccini 31,  D(CR)",189,79,21(2),1868,1,-,3,-,0.5,78.5,1.1,1,6.83,Valencia,2018/2019
"Carlos Soler 27,  M(CLR)",180,76,27(4),2466,2,6,9,-,1.3,79.5,0.8,1,6.77,Valencia,2018/2019
"Denis Cheryshev 33,  AM(L),FW",179,74,19(8),1709,2,2,2,-,1.2,69,1.3,-,6.74,Valencia,2018/2019
"Daniel Wass 34,  D(LR),M(CLR)",181,74,26(6),2356,1,3,4,-,0.9,78,1.3,-,6.74,Valencia,2018/2019
"Santi Mina 28,  AM(LR),FW",185,79,23(7),1860,7,5,4,-,1.4,73,1.4,2,6.71,Valencia,2018/2019
"Neto 34,  GK",190,84,34,3060,-,-,2,-,-,48.6,0.1,1,6.7,Valencia,2018/2019
"Mouctar Diakhaby 27,  D(C),DMC",189,78,16(6),1574,2,-,9,-,0.5,85.1,1.6,-,6.65,Valencia,2018/2019
"Facundo Roncaglia 37,  D(CLR)",179,76,7,603,-,-,3,1,0.4,80.3,2.3,-,6.64,Valencia,2018/2019
"Rúben Vezo 29,  D(CR)",182,80,2(2),194,-,-,2,-,0.5,75.9,1.8,-,6.57,Valencia,2018/2019
"Ferran Torres 24,  AM(LR),FW",184,77,8(16),843,2,1,5,-,0.7,77.7,1.3,-,6.51,Valencia,2018/2019
"Kevin Gameiro 36,  AM(C),FW",172,70,16(17),1606,6,1,1,-,1.1,77,0.3,-,6.43,Valencia,2018/2019
"Rubén Sobrino 31,  AM(CLR),FW",185,73,2(2),192,-,-,1,-,0.8,76.6,1.8,-,6.33,Valencia,2018/2019
"Toni Lato 26,  D(L),M(L)",171,64,3(1),270,-,-,1,-,0.5,79.4,-,-,6.26,Valencia,2018/2019
"Michy Batshuayi 30,  FW",185,76,4(11),522,1,-,3,-,1.1,76.3,0.7,-,6.23,Valencia,2018/2019
"Lee Kang-In 23,  M(CLR),FW",174,72,0(3),21,-,-,1,-,0.3,84.6,-,-,6.09,Valencia,2018/2019
"Leandro Cabrera 32,  D(CL)",190,80,31(1),2794,2,-,9,1,0.7,50.6,5,2,7.01,Getafe,2018/2019
"Jorge Molina 41,  FW",188,72,28(10),2651,14,5,2,-,1.5,66.7,2.4,4,6.97,Getafe,2018/2019
"Antunes 36,  D(L),M(L)",175,72,25(3),2182,1,3,5,-,1,58.2,0.8,-,6.89,Getafe,2018/2019
"Damián Suárez 35,  D(R),M(R)",172,61,36,3240,-,3,13,-,0.4,65,0.9,-,6.89,Getafe,2018/2019
"Jaime Mata 35,  AM(L),FW",185,79,27(7),2437,14,6,10,-,1.7,62.9,2.9,3,6.88,Getafe,2018/2019
"Djené Dakonam 32,  D(CR),DMC",187,72,34,2981,-,-,11,2,0.4,71.9,2.6,3,6.81,Getafe,2018/2019
"Nemanja Maksimovic 29,  M(C)",189,69,36,3211,1,-,5,-,0.9,75.6,2.3,-,6.78,Getafe,2018/2019
"Mauro Arambarri 28,  DMC",175,74,32(1),2687,1,2,8,-,0.9,69.4,1.7,1,6.76,Getafe,2018/2019
"David Soria 30,  GK",192,85,37,3330,-,-,-,-,-,40.4,0.3,2,6.76,Getafe,2018/2019
"Mathías Olivera 26,  D(L),M(L)",184,78,12(2),1011,-,1,4,1,0.4,58.7,3.1,-,6.66,Getafe,2018/2019
"Bruno González 33,  D(C)",185,83,18(5),1697,-,1,5,1,0.3,70.8,2.3,1,6.65,Getafe,2018/2019
"Amath Ndiaye 27,  AM(LR),FW",173,70,13(2),1012,1,2,4,-,1,71.8,0.8,-,6.61,Getafe,2018/2019
"Dimitri Foulquier 30,  D(CLR),M(R)",183,72,23(2),1809,3,2,7,-,0.5,62.8,1,1,6.59,Getafe,2018/2019
"Ignasi Miquel 31,  D(C)",188,82,4(3),317,-,-,1,-,-,54.9,1,-,6.47,Getafe,2018/2019
"Francisco Portillo 33,  M(CLR)",169,60,19(13),1992,1,4,3,1,0.3,76.5,0.2,-,6.47,Getafe,2018/2019
"Samu Sáiz 33,  AM(CL)",174,68,2(8),300,1,-,2,-,0.7,70.5,0.2,1,6.46,Getafe,2018/2019
"Ángel Rodríguez 36,  FW",172,68,20(17),1821,8,3,4,-,1.8,66.6,0.8,2,6.46,Getafe,2018/2019
"Sebastián Cristóforo 30,  M(C)",175,68,4(11),443,-,2,3,-,0.1,77.6,0.6,1,6.4,Getafe,2018/2019
"Hugo Duro 24,  AM(L),FW",177,70,5(6),415,-,-,-,-,0.6,66.1,0.9,-,6.4,Getafe,2018/2019
"Gaku Shibasaki 31,  M(C),FW",175,64,5(2),390,-,-,-,-,0.9,66.4,0.7,-,6.34,Getafe,2018/2019
"Mathieu Flamini 40,  M(C)",178,67,4(6),449,-,-,5,-,-,65.9,1.5,-,6.21,Getafe,2018/2019
"Rober Ibáñez 30,  AM(R)",175,67,0(7),71,-,-,1,-,0.6,89.5,-,-,6.16,Getafe,2018/2019
"Markel Bergara 37,  M(C)",180,74,0(3),50,-,-,-,-,-,76.5,0.3,-,6.08,Getafe,2018/2019
"Leandro Chichizola 33,  GK",185,80,1,90,-,-,-,-,-,41.7,1,-,6,Getafe,2018/2019
"Sergi Guardiola 32,  FW",184,78,0(3),28,-,-,-,-,0.7,54.5,-,-,5.99,Getafe,2018/2019
"Iván Alejo 29,  AM(R)",184,73,2(2),147,-,-,2,1,0.3,46.9,0.8,-,5.96,Getafe,2018/2019
"Wissam Ben Yedder 33,  AM(C),FW",170,68,31(4),2821,18,9,4,-,2.2,73.9,1.1,3,7.23,Sevilla,2018/2019
"Pablo Sarabia 31,  D(L),M(CLR),FW",174,70,30(3),2730,12,13,9,-,2.3,79.6,0.3,5,7.16,Sevilla,2018/2019
"Éver Banega 35,  M(C)",176,78,32,2681,3,4,15,2,1,85.4,0.3,2,7.08,Sevilla,2018/2019
"André Silva 28,  FW",185,84,25(2),2164,9,-,4,-,2.3,72.7,2.5,2,6.93,Sevilla,2018/2019
"Jesús Navas 38,  D(R),M(R)",172,60,31(1),2714,1,5,8,-,1,77,0.5,-,6.93,Sevilla,2018/2019
"Daniel Carriço 35,  D(C),DMC",180,79,24,2132,1,1,10,-,0.4,79.7,2.5,1,6.88,Sevilla,2018/2019
"Simon Kjær 34,  D(C)",190,86,25(1),2016,-,-,5,-,0.5,85.7,3,-,6.87,Sevilla,2018/2019
"Franco Vázquez 35,  AM(CLR),FW",187,82,26(8),2290,3,4,8,1,1.3,79.3,2,-,6.87,Sevilla,2018/2019
"Munir El Haddadi 28,  AM(CLR),FW",175,69,12(4),1045,5,1,2,-,2.1,74.2,1.1,1,6.8,Sevilla,2018/2019
"Gabriel Mercado 37,  D(CR)",181,82,19(4),1738,2,1,10,-,0.5,82,2,-,6.72,Sevilla,2018/2019
"Joris Gnagnon 27,  D(C)",182,89,4(3),445,-,-,2,-,0.4,90.3,2.7,-,6.71,Sevilla,2018/2019
"Sergi Gómez 31,  D(CR)",185,80,31(1),2766,-,-,1,-,0.3,84.6,2.6,-,6.7,Sevilla,2018/2019
"Maximilian Wöber 26,  D(CL)",188,85,6(1),536,-,-,2,-,0.7,81.2,2.3,-,6.68,Sevilla,2018/2019
"Sergio Escudero 34,  D(L),M(L)",176,65,18(3),1553,-,1,6,1,1.3,81,1,1,6.65,Sevilla,2018/2019
"Juan Soriano 26,  GK",185,78,4,360,-,-,-,1,-,42.9,0.8,1,6.61,Sevilla,2018/2019
"Maxime Gonalons 35,  D(C),M(C)",187,76,5(5),537,-,-,-,-,0.2,82.6,1.9,-,6.6,Sevilla,2018/2019
"Quincy Promes 32,  M(CLR),FW",174,71,15(18),1571,2,3,2,-,0.9,78.9,0.6,1,6.59,Sevilla,2018/2019
"Tomás Vaclík 34,  GK",188,85,33,2970,-,-,1,-,-,52,0.4,2,6.58,Sevilla,2018/2019
"Aleix Vidal 34,  D(R),M(LR)",177,70,5(6),526,-,-,3,-,0.7,76.1,0.7,-,6.54,Sevilla,2018/2019
"Ibrahim Amadou 30,  D(C),DMC",183,81,7(10),758,-,-,2,-,0.5,85.8,1.5,1,6.53,Sevilla,2018/2019
"Guilherme Arana 26,  D(L),M(L)",178,76,8(1),633,-,-,3,-,0.7,84.5,0.3,-,6.52,Sevilla,2018/2019
"Marko Rog 28,  M(C)",180,73,4(6),355,-,-,5,-,0.2,86.4,1.1,-,6.48,Sevilla,2018/2019
